,CreateDate,url,NewsTitle,NewsNotes
161,2018-08-15T11:46:20,https://www.yicai.com/news/100011197.html,独家丨兵团六师债即将兑付，资金已划至上清所,就城投债而言，此前2009年的“07宜城投债”和2017年的“14新密财源债”也先后发生过技术性违约。
187,2018-08-14T21:59:48,https://www.yicai.com/news/100010967.html,城投债刚兑信仰遭打破，尚不会蔓延至整个城投板块,考虑到这次违约的城投债未来兑付方面的不确定性等，本次事件的冲击也仅限于同类型的平台、同区域的城投等等，尚不能蔓延至整个城投板块。
278,2018-08-13T22:08:32,https://www.yicai.com/news/100010347.html,上清所：“17兵团六师SCP001”未足额划付付息兑付资金,截至付息兑付日，17兵团六师SCP001未能足额划付资金。事实上，2018年以来，数个城投平台都出现过违约问题。
818,2018-08-03T19:11:56,https://www.yicai.com/news/100006295.html,乐视网：15乐视01余额到期不能按时兑付 构成违约,公司表示，本次债券未能如期兑付剩余债券本息，将可能导致公司承担相应责任的风险。
952,2018-08-01T13:08:29,https://www.yicai.com/news/100005267.html,基金业黑天鹅事件的反思,本次黑天鹅事件，说明了公募基金行业仍有诸多不当之处。实际上，过去多年间，行业中接连发生了多起基金踩雷事件。踩中的不光是股票地雷，也有债券违约地雷
919,2018-07-17T21:20:00,https://www.yicai.com/news/5439794.html,地产股平均市盈率不到11倍 开发商打响股价保卫战,房地产公司股价受市场面拖累已然出现大幅度调整，因股价下跌而引发的股份质押等违约风险引发房企的担忧。又到了集体行动的时候，从6月下旬开始，多家公司发起股份回购或增持行动，但从目前结果来看，这场股价保卫战暂未奏效。
1144,2018-07-13T17:14:00,https://www.yicai.com/news/5439006.html,德邦证券收监管警示函，五洋债存续管理未能尽责,7月6日，证监会开出首张债券欺诈发行罚单，五洋债成为首例因骗取发行核准被证监会处罚的公募债。12日，上海证监局公告称，五洋债券发生违约，债券持有人信访不断，反映出德邦证券的合规执业意识不足。
1511,2018-07-09T08:46:00,https://www.yicai.com/news/5437568.html,永泰能源：永泰集团将主导全集团范围内的资产和债务处置计划,公司在发展过程中没有管控好负债规模和负债率，整体负债率较高，公司流动性出现暂时性困难，不存在债项违约涉及私募返费等其他原因。
1889,2018-07-02T20:04:00,https://www.yicai.com/news/5436099.html,穆迪：影子银行同业理财明显放缓，银行资产质量企稳,对于不良率微升，穆迪认为，当前银行业资产质量企稳，与宏观经济的持续增长一致。但未来12~18个月内去杠杆将使脆弱企业的边际违约风险凸显，并限制资产质量的改善幅度。
1890,2018-07-02T19:44:00,https://www.yicai.com/news/5436096.html,6月非金融企业发债回暖，信用风险最大的坎或在8月,进入下半年，信用风险会得到改善，但很难讲集中违约状况马上过去。
1922,2018-07-02T10:20:00,https://www.yicai.com/news/5435942.html,中国银行间市场交易商协会：非金融企业债务融资工具发行稳定,截至6月底，债务融资工具存量约9.19万亿元，市场规模保持稳健增长态势；6月以来未出现新增违约主体，债务融资工具信用风险总体可控。
1190,2018-06-27T19:01:00,https://www.yicai.com/news/5434956.html,发改委：完善企业外债备案登记管理 有效防范外债风险,引导规范房地产企业境外发债资金投向，房地产企业境外发债主要用于偿还到期债务，避免产生债务违约，限制房地产企业外债资金投资境内外房地产项目、补充运营资金。
1601,2018-06-20T22:14:00,https://www.yicai.com/news/5433215.html,中美货币市场利率未来或倒挂,未来政策仍有背离可能，同时中美货币市场利率短期内可能出现倒挂。考虑到当下表外转表内的进程以及下半年信用债到期压力和违约潮脉冲情绪的蔓延，短期内我们可能还会继续看到中美货币政策的分化。
1688,2018-06-19T22:31:00,https://www.yicai.com/news/5432927.html,质押违约潮逼近，识别“隐身”高危股很重要,"如果上市公司公告了大股东触及平仓，那基本上是实在没办法了，才会自曝。真实的质押违约风险，可能比公告看到的严峻得多。
"
1787,2018-06-18T17:35:00,https://www.yicai.com/news/5432638.html,端午央行网站发文：重申稳定，债券市场风险总体可控！,分析人士认为，央行此时发声，一是针对此间的债券违约问题，二是中美贸易战下，重申金融市场状态稳定。
2270,2018-06-10T22:17:00,https://www.yicai.com/news/5430482.html,中国青旅实业违约背后：信用风险暴露，“兑付神话”打破,深圳某公募基金债基基金经理直言，信用债已不是估值和价格的问题（低价也难以处置），而是流动性枯竭的问题，且趋势较难扭转。
2272,2018-06-10T22:15:00,https://www.yicai.com/news/5430480.html,离岸投资者偏爱金融债房企债，评级与处置逻辑大不同,今年民企债出现违约潮，这也带动了赶赴离岸发债的浪潮，所幸离岸投资者对于中资债券的热情并未全面熄火，房企债、金融债仍受追捧，不过发行利率料将不断攀升。
2333,2018-06-08T19:12:00,https://www.yicai.com/news/5430217.html,深交所多举措加大对高债务风险公司监管力度,深交所将采取“监管约谈+年报问询+监管协作”的监管组合措施，督促上市公司尽快采取切实有效的措施化解债务违约风险并充分揭示，给投资者一个真实的上市公司。
2475,2018-06-06T21:48:00,https://www.yicai.com/news/5429602.html,非标受限再融资“受伤”，引援ABS银行思路生变,“今年来很多的非标项目出现了延期兑付的情况，从发债的违约多是集中在煤炭、大宗商品等周期类行业，现金流不不太稳定的公司更可能出现风险。”6月6日，某券商非标人士对第一财经表示。
2529,2018-06-06T12:07:00,https://www.yicai.com/news/5429364.html,央行扩大MLF担保品范围意味着什么？券商机构这么说,2018年，信用风险再次引起市场的极大关注，今年以来信用债违约事件已超20起。央行此次推出的MLF担保品扩围的新政策就是监管部门果断出手的举措之一。
2558,2018-06-05T22:25:00,https://www.yicai.com/news/5429276.html,5月一财首席调研：金融去杠杆致债市违约潮，长期有利于债市健康发展,资管新规颁布、影子银行监管加强、非标融资受限，实体企业融资渠道变窄，融资成本上升，这导致一些投资激进、杠杆率过高的企业出现违约。
2621,2018-06-05T07:28:00,https://www.yicai.com/news/5428997.html,市场担忧情绪犹存，A股下行空间有限,分析人士认为，信用债违约叠加中美贸易摩擦继续，即使并未对股市产生多大实质性影响，然而市场担忧情绪岌岌可危，预计后市短期仍将维持震荡走势。但中长期来看，在宏观经济强韧背景的基础上，A股整体估值已相对较低，下行空间有限。
2681,2018-06-04T07:24:00,https://www.yicai.com/news/5428686.html,A股持续震荡调整，市场利空因素有待消化,分析人士认为，短期市场受制于中美贸易摩擦反复和国内一些信用违约事件。过去两年大震荡格局不变，估值已回到区间底部，盈利增长支撑中期趋势，短期需要消化利空因素。
2710,2018-06-03T16:48:00,https://www.yicai.com/news/5428600.html,风险定价渐唱主角，基金经理们严防债市踩雷,最近违约的80％以上是民企、20％是国企，且行业分布较为分散，这也使得众多基金“踩雷”，甚至正不断颠覆机构的择券逻辑，风险定价的重要性不断凸显。
2726,2018-06-02T18:11:00,https://www.yicai.com/news/5428556.html,碧桂园否认债务违约 前五月销售超3300亿元,面对商票违约传言，该公司则公开发文澄清：“集团所开立的商业承兑汇票均按时足额承兑，对于近期有关集团商票逾期未兑付的不实谣言，集团将保留法律追究权利。”
2742,2018-06-01T22:00:00,https://www.yicai.com/news/5428496.html,解渴小微企业融资难，央行扩大中期借贷便利抵押品范围,国家统计局公布的调查结果显示，本月反映资金紧张的企业比重为40.1%，连续三个月上升。另外，在近期违约事件发生后AA+、AA级信用利差明显扩大。
2935,2018-05-30T20:39:00,https://www.yicai.com/news/5427701.html,洪灏：债券违约总体风险可控,考虑到2018年的政策重点之一是“防风险”，随着违约潮的发展，货币政策工具可能在晚些时候释放，以确保守住这一政策底线。
2969,2018-05-30T16:21:00,https://www.yicai.com/news/5427613.html,IMF完成与中国第四条款磋商：应继续控制信贷增长，债市违约风险可控,IMF亚太部门助理主任詹姆斯·丹尼尔对第一财经记者称：“一定程度的债券违约是市场健康的体现，当前中国债市违约率很低，对于全球第三大债券市场而言，违约率很低或为零是不正常的。”
2034,2018-05-29T19:38:00,https://www.yicai.com/news/5427325.html,独家 | 关联方占资突破百亿，凯迪生态“防占”制度为谁而设？,作为曾经的生物质发电明星上市公司，凯迪生态中票“11凯迪MTN1”本息6.98亿元违约引爆了公司的资金链风险，而在此次债券违约之前，凯迪生态的资金链风险并未完全暴露。
2046,2018-05-29T17:58:00,https://www.yicai.com/news/5427292.html,地产商债务冰山浮出水面，违约风险逐渐累积,在金融监管部门持续去杠杆的大背景之下，房地产市场开始从疯狂转向平稳，然而过去两年大幅举债的开发商则面临又一轮资金收紧的压力。
2094,2018-05-28T22:12:00,https://www.yicai.com/news/5427059.html,债务违约潮涌至上市公司，破刚兑需防范叠加效应,打破刚兑，是当前比较确定的监管趋势。这不仅有利于市场出清，促进市场定价功能的发挥，也是债市甚至整个资管行业健康发展的必然选择。但紧货币、紧财政，叠加强监管，不能排除会出现流动性过快过急收紧，而产生负反馈效应。
2095,2018-05-28T22:12:00,https://www.yicai.com/news/5427058.html,违约潮如期而至，别让破刚兑成“叶公好龙”,中金公司固收部分析到，银行理财和同业部门需要纳入全行统一授信管理，导致风险偏好与表内一致。诸多投资者不是从风险收益比去考虑问题，而是风险完全规避型投资者。
2106,2018-05-28T21:14:00,https://www.yicai.com/news/5427021.html,债券违约的“锅”流动性不背，需更关注个体风险,目前基本稳定的流动性环境存在一定程度的放松。2018年监管者对流动性的管理思路更倾向于松紧有度的货币政策和维护银行体系流动性总量合理稳定。
2145,2018-05-28T14:37:00,https://www.yicai.com/news/5426873.html,机构：债券“违约潮”再现，对股市实质影响有限,信用违约风险事件频发，涉及多家A股上市公司，引发市场广泛关注。中金公司认为，对于A股投资者来说，考虑到信用债违约演化的不确定性以及相关公司的风险暴露，信用债违约近期将压制股市风险偏好。
2171,2018-05-27T22:02:00,https://www.yicai.com/news/5426723.html,违约事件频发，证监会与最高法优化违约诉讼解决途径,事实上，尽管信用违约时有发生，但投资者当前仍未打破“刚兑”信仰。
2298,2018-05-24T22:40:00,https://www.yicai.com/news/5426171.html,独家丨违约潮波及股权私募：乐视资本玩家韬蕴资本折戟，10亿基金延期付息,一款由钜澎资产作为财务顾问，小村资本作为基金管理人，借款人为韬蕴资本的四连号私募股权“类固收类”基金产品，未能完全按照借款协议约定足额支付本基金第一年的利息。该产品底层标的资产——完达乳业PRE-IPO股权投资因未能按期被核准IPO，资本方面临投资人质疑。
2397,2018-05-23T22:30:00,https://www.yicai.com/news/5425785.html,基金20年丨债券基金直面违约难题,近半年以来，多达10只开放式债券基金跌幅超过10%。其中中融荣丰纯债A、中融荣丰纯债C最近半年的跌幅分别高达49.13%、47.91%
2402,2018-05-23T22:26:00,https://www.yicai.com/news/5425780.html,再融资需求迫切，上市公司发债规模同比增3.5倍,近期违约负面事件上升加重了市场的紧张情绪，但少量有序违约对建立市场化的定价估值体系、完善市场风险分散分担机制等均有积极意义，是我国债券市场走向良性循环的必经之路。
2498,2018-05-22T22:11:00,https://www.yicai.com/news/5425361.html,市场正在出清，上市公司债券扎堆违约,这一轮违约触发的主要原因是，在去杠杆和强监管下，部分企业再融资受阻。
2557,2018-05-22T12:34:00,https://www.yicai.com/news/5425129.html,中青旅回应信托违约事件，旗下无此公司,中青旅5月22日发布声明称，公司并无“中青旅实业”或类似名称的分子公司，该文所涉公司及其所属公司与公司不存在任何股权关系。
2560,2018-05-22T12:16:00,https://www.yicai.com/news/5425116.html,央行主管金融时报：“违约”倒逼债券市场规则重塑,在这种情况下，违约事件是市场出清的选择。实际上，完全没有违约风险的债券市场是不正常的，打破刚性兑付是债券市场走向合规化的第一步。
2602,2018-05-21T19:42:00,https://www.yicai.com/news/5424914.html,上海华信20亿短融违约，存量债券还有276亿,根据第一财经记者统计，不包括本期到期的20亿短融，上海华信尚未偿还的债券还有12只，总规模为276亿元。
3016,2018-05-15T21:19:00,https://www.yicai.com/news/5423229.html,回售违约概率加大 机构担忧信用风险“连环炸”,多位分析人士均指出，单纯的博弈下修并非上佳策略，因为影响下修的因素很多，且最终的盈利程度并不一定较高，最终能否赎回也是要看股票是否有趋势性的行情。
3125,2018-05-14T20:42:00,https://www.yicai.com/news/5422840.html,凯迪债违约引机构全面排查“债雷”，利率债、信用债两极分化,由于凯迪生态上周债务违约，相关投资机构已经开始全面排查信用债“债雷”，同时也在准备相关资料，为监管层近期可能进行的调查做准备。
3218,2018-05-13T21:06:00,https://www.yicai.com/news/5422520.html,天房集团曝信托违约风险，公司债遭二级市场抛售,近日，中信信托公告称，天房集团应于5月18日偿还的2亿本金及利息可能发生违约风险。11日，天房发展发行的“15天房债”大跌逾6%，隐含收益率飙升至34.83%。
3369,2018-05-10T17:57:00,https://www.yicai.com/news/5421883.html,债券违约“交叉感染”贷款，银行资产质量再受威胁,去杠杆持续推进、资管新规落地，违约风险可能会呈局部高发的态势。过于依赖发债和杠杆，拼命通过发债、非标融资扩张规模，经营不佳的民营企业，将是违约高发区。
3429,2018-05-09T22:31:00,https://www.yicai.com/news/5421652.html,债券违约风险抬升背后：市场回收流动性，今年逾1800亿债券弃发,截至5月8日，今年以来取消、推迟发行的各类债券，累计已经达到304只，包括了公司债、企业债、中票、短融、超短融等全部类型，涉及金额多达1839亿元。大量债券发行失败，是融资环境的深刻变化。
3486,2018-05-09T13:32:00,https://www.yicai.com/news/5421442.html,凯迪生态或陷连环违约，凯迪债收益率飙至逾400%,“这次违约可能只是一个开始，公司后续的几笔债务大概率会出现违约，2个月内兑付估计也可能有问题。”持有凯迪债的某基金内部人士对第一财经记者表示。
3532,2018-05-08T21:47:00,https://www.yicai.com/news/5421281.html,社论：直面上市公司债务违约,最不应该做的是兜底，让打破刚性兑付再度成为空言。
3576,2018-05-08T15:10:00,https://www.yicai.com/news/5421086.html,国债期货8日早盘跳水，与信用违约事件无关  ,国债期货市场普遍下跌与近日接连爆出的违约事件无关，而是进出口数据超出预期，对经济基本面形成支撑，造成了当日国债期货的跳水。
3640,2018-05-07T18:23:00,https://www.yicai.com/news/5420839.html,迪凯生态12亿中票实质性违约，计划2个月内兑付,第一财经记者独家从基金和银行处获悉，凯迪生态的中票“11凯迪MTN1”已构成实质性违约，规模为12亿元人民币，公司计划将于2个月内兑付全部本息。
3659,2018-05-07T13:37:00,https://www.yicai.com/news/5420746.html,"诱人""套路贷""：付息超21分钟被索高违约金",“套路贷”不同于一般民间借贷，民间借贷是在法律规定的利率范畴内营利，“套路贷”则以追讨虚增债务非法敛财。“套路贷”不属于民间借贷，其本质是违法犯罪。
3258,2018-04-25T19:40:00,https://www.yicai.com/news/5418350.html,深陷违规担保泥淖，“14富贵鸟”违约：低等级信用债寒冬到来？,神雾环保的“16环保债”、富贵鸟的“14富贵鸟”接连违约更引起了市场注意，两家公司分别为创业板和H股上市公司，上市公司债刚性兑付的信仰进一步被打破。
3348,2018-04-24T20:57:00,https://www.yicai.com/news/5418006.html,万亿降准为流动性“刮骨疗毒” 去杠杆还在酝酿大动作？,监管此次“不对称”降准，可能另有深意：借助降准摸清银行间真实杠杆情况，为进一步去杠杆做准备，并为在此过程中可能出现的违约等风险，提前做好准备。
3721,2018-04-18T21:40:00,https://www.yicai.com/news/5416453.html,深交所新章程增添监管手段：“惩罚性违约金”“将直击市场痛点,深交所《章程》修订草案目前正在等待会员大会审议通过，具体内容待正式公布。
3746,2018-04-18T18:58:00,https://www.yicai.com/news/5416361.html," 深交所：拓展交易所职能范围 明确""惩罚性违约金""处分",深交所2018年度会员大会以非现场形式召开，其中审议《深圳证券交易所章程（2018年修订草案）》是本次会员大会的重要议程之一。
4157,2018-04-12T22:33:00,https://www.yicai.com/news/5414810.html,庆汇租赁ABS违约背后 表象繁荣下的风险暴露,“在实际ABS的操作中，一些中介机构的风控往往不够到位；即便评级机构资质较高，但是也不是完全的保证，因为资产资质也存在着下滑的可能性。” 该上市券商资产证券化人士分析称。
